,Date,Debate Type,Speaker,Sents
2,1-25-16,primary_dem,CUOMO, All right.
3,1-25-16,primary_dem,CUOMO,"We are live at Drake University in Des Moines, Iowa, to hear from the Democratic presidential candidates and the people who matter most in this election, the voters."
4,1-25-16,primary_dem,CUOMO,"Welcome to our viewers in the United States and around the world, and, of course, here in Iowa, where we're being seen on our CNN affiliates across the state."
5,1-25-16,primary_dem,CUOMO,"We also want to welcome our servicemen and -women who are watching on the American Forces Network around the world, and to our listeners on the Westwood One Radio Network and Sirius XM Channel 116."
6,1-25-16,primary_dem,CUOMO,I'm Chris Cuomo.
7,1-25-16,primary_dem,CUOMO,And we really are thrilled to have you all with us.
8,1-25-16,primary_dem,CUOMO,Now there have been debates.
9,1-25-16,primary_dem,CUOMO,There have been interviews.
10,1-25-16,primary_dem,CUOMO,"Tonight, something different, a chance for the people who will decide to ask the questions themselves."
11,1-25-16,primary_dem,CUOMO,"As you know, the people of this state are the first in the nation to have a say on who will serve in the Oval Office."
12,1-25-16,primary_dem,CUOMO,We only have seven days left to make up their minds.
13,1-25-16,primary_dem,CUOMO,"In this hall tonight, Iowa voters who plan to attend the Democratic Caucuses next Monday night."
14,1-25-16,primary_dem,CUOMO,"They were invited by CNN and our partners, the Iowa Democratic Party and Drake University."
15,1-25-16,primary_dem,CUOMO,Audience members submitted questions to us.
16,1-25-16,primary_dem,CUOMO,"We have screened them to make sure they cover a variety of important issues, and they do."
17,1-25-16,primary_dem,CUOMO,"However, the candidates do not know what the questions will be."
18,1-25-16,primary_dem,CUOMO,Many of the voters joining us tonight are undecided.
19,1-25-16,primary_dem,CUOMO,Some are leaning toward a particular candidate.
20,1-25-16,primary_dem,CUOMO,"Now in a bit, we're going to talk with Governor Martin O'Malley and Secretary Hillary Clinton, but first, please welcome Senator Bernie Sanders of Vermont."
21,1-25-16,primary_dem,CUOMO,[applause]
22,1-25-16,primary_dem,SANDERS," Hi, Chris."
23,1-25-16,primary_dem,SANDERS,How are you?
