,Date,Debate Type,Speaker,Sents
2,10-9-16,general,RADDATZ," Ladies and gentlemen the Republican nominee for president, Donald J. Trump, and the Democratic nominee for president, Hillary Clinton."
3,10-9-16,general,RADDATZ,[applause]
4,10-9-16,general,COOPER, Thank you very much for being here.
5,10-9-16,general,COOPER,We're going to begin with a question from one of the members in our town hall.
6,10-9-16,general,COOPER,Each of you will have two minutes to respond to this question.
7,10-9-16,general,COOPER,"Secretary Clinton, you won the coin toss, so you'll go first."
8,10-9-16,general,COOPER,Our first question comes from Patrice Brock.
9,10-9-16,general,COOPER,Patrice?
10,10-9-16,general,QUESTION," Thank you, and good evening."
11,10-9-16,general,QUESTION,"The last debate could have been rated as MA, mature audiences, per TV parental guidelines."
12,10-9-16,general,QUESTION,"Knowing that educators assign viewing the presidential debates as students' homework, do you feel you're modeling appropriate and positive behavior for today's youth?"
13,10-9-16,general,CLINTON," Well, thank you."
14,10-9-16,general,CLINTON,Are you a teacher?
15,10-9-16,general,CLINTON,"Yes, I think that that's a very good question, because I've heard from lots of teachers and parents about some of their concerns about some of the things that are being said and done in this campaign."
16,10-9-16,general,CLINTON,And I think it is very important for us to make clear to our children that our country really is great because we're good.
17,10-9-16,general,CLINTON,"And we are going to respect one another, lift each other up."
18,10-9-16,general,CLINTON,"We are going to be looking for ways to celebrate our diversity, and we are going to try to reach out to every boy and girl, as well as every adult, to bring them in to working on behalf of our country."
19,10-9-16,general,CLINTON,I have a very positive and optimistic view about what we can do together.
20,10-9-16,general,CLINTON,"That's why the slogan of my campaign is ""Stronger Together,"" because I think if we work together, if we overcome the divisiveness that sometimes sets Americans against one another, and instead we make some big goals—and I've set forth some big goals, getting the economy to work for everyone, not just those at the top, making sure that we have the best education system from preschool through college and making it affordable, and so much else."
21,10-9-16,general,CLINTON,"If we set those goals and we go together to try to achieve them, there's nothing in my opinion that America can't do."
22,10-9-16,general,CLINTON,So that's why I hope that we will come together in this campaign.
23,10-9-16,general,CLINTON,"Obviously, I'm hoping to earn your vote, I'm hoping to be elected in November, and I can promise you, I will work with every American."
24,10-9-16,general,CLINTON,"I want to be the president for all Americans, regardless of your political beliefs, where you come from, what you look like, your religion."
25,10-9-16,general,CLINTON,"I want us to heal our country and bring it together because that's, I think, the best way for us to get the future that our children and our grandchildren deserve."
26,10-9-16,general,COOPER," Secretary Clinton, thank you."
27,10-9-16,general,COOPER,"Mr. Trump, you have two minutes."
28,10-9-16,general,TRUMP," Well, I actually agree with that."
29,10-9-16,general,TRUMP,I agree with everything she said.
30,10-9-16,general,TRUMP,I began this campaign because I was so tired of seeing such foolish things happen to our country.
31,10-9-16,general,TRUMP,This is a great country.
32,10-9-16,general,TRUMP,This is a great land.
33,10-9-16,general,TRUMP,I've gotten to know the people of the country over the last year-and-a-half that I've been doing this as a politician.
34,10-9-16,general,TRUMP,"I cannot believe I'm saying that about myself, but I guess I have been a politician."
35,10-9-16,general,TRUMP,And my whole concept was to make America great again.
36,10-9-16,general,TRUMP,"When I watch the deals being made, when I watch what's happening with some horrible things like Obamacare, where your health insurance and health care is going up by numbers that are astronomical, 68 percent, 59 percent, 71 percent, when I look at the Iran deal and how bad a deal it is for us, it's a one-sided transaction where we're giving back $150 billion to a terrorist state, really, the number one terror state, we've made them a strong country from really a very weak country just three years ago."
37,10-9-16,general,TRUMP,"When I look at all of the things that I see and all of the potential that our country has, we have such tremendous potential, whether it's in business and trade, where we're doing so badly."
38,10-9-16,general,TRUMP,"Last year, we had almost $800 billion trade deficit."
39,10-9-16,general,TRUMP,"In other words, trading with other countries."
40,10-9-16,general,TRUMP,We had an $800 billion deficit.
41,10-9-16,general,TRUMP,It's hard to believe.
42,10-9-16,general,TRUMP,Inconceivable.
43,10-9-16,general,TRUMP,You say who's making these deals?
44,10-9-16,general,TRUMP,We're going the make great deals.
45,10-9-16,general,TRUMP,We're going to have a strong border.
46,10-9-16,general,TRUMP,We're going to bring back law and order.
47,10-9-16,general,TRUMP,"Just today, policemen was shot, two killed."
48,10-9-16,general,TRUMP,And this is happening on a weekly basis.
49,10-9-16,general,TRUMP,We have to bring back respect to law enforcement.
50,10-9-16,general,TRUMP,"At the same time, we have to take care of people on all sides."
51,10-9-16,general,TRUMP,We need justice.
52,10-9-16,general,TRUMP,"But I want to do things that haven't been done, including fixing and making our inner cities better for the African-American citizens that are so great, and for the Latinos, Hispanics, and I look forward to doing it."
53,10-9-16,general,TRUMP,It's called make America great again.
54,10-9-16,general,COOPER," Thank you, Mr. Trump."
55,10-9-16,general,COOPER,The question from Patrice was about are you both modeling positive and appropriate behavior for today's youth?
56,10-9-16,general,COOPER,"We received a lot of questions online, Mr. Trump, about the tape that was released on Friday, as you can imagine."
57,10-9-16,general,COOPER,You called what you said locker room banter.
58,10-9-16,general,COOPER,"You described kissing women without consent, grabbing their genitals."
59,10-9-16,general,COOPER,That is sexual assault.
60,10-9-16,general,COOPER,You bragged that you have sexually assaulted women.
61,10-9-16,general,COOPER,Do you understand that?
62,10-9-16,general,TRUMP," No, I didn't say that at all."
63,10-9-16,general,TRUMP,I don't think you understood what was—this was locker room talk.
64,10-9-16,general,TRUMP,I'm not proud of it.
65,10-9-16,general,TRUMP,I apologize to my family.
66,10-9-16,general,TRUMP,I apologize to the American people.
67,10-9-16,general,TRUMP,Certainly I'm not proud of it.
68,10-9-16,general,TRUMP,But this is locker room talk.
69,10-9-16,general,TRUMP,"You know, when we have a world where you have ISIS chopping off heads, where you have—and, frankly, drowning people in steel cages, where you have wars and horrible, horrible sights all over, where you have so many bad things happening, this is like medieval times."
70,10-9-16,general,TRUMP,"We haven't seen anything like this, the carnage all over the world."
71,10-9-16,general,TRUMP,And they look and they see.
72,10-9-16,general,TRUMP,"Can you imagine the people that are, frankly, doing so well against us with ISIS?"
73,10-9-16,general,TRUMP,And they look at our country and they see what's going on.
74,10-9-16,general,TRUMP,"Yes, I'm very embarrassed by it."
75,10-9-16,general,TRUMP,I hate it.
76,10-9-16,general,TRUMP,"But it's locker room talk, and it's one of those things."
77,10-9-16,general,TRUMP,I will knock the hell out of ISIS.
78,10-9-16,general,TRUMP,We're going to defeat ISIS.
79,10-9-16,general,TRUMP,ISIS happened a number of years ago in a vacuum that was left because of bad judgment.
80,10-9-16,general,TRUMP,"And I will tell you, I will take care of ISIS."
81,10-9-16,general,COOPER," So, Mr. Trump..."
82,10-9-16,general,TRUMP, And we should get on to much more important things and much bigger things.
83,10-9-16,general,COOPER," Just for the record, though, are you saying that what you said on that bus 11 years ago that you did not actually kiss women without consent or grope women without consent?"
84,10-9-16,general,TRUMP, I have great respect for women.
85,10-9-16,general,TRUMP,Nobody has more respect for women than I do.
86,10-9-16,general,COOPER," So, for the record, you're saying you never did that?"
87,10-9-16,general,TRUMP," I've said things that, frankly, you hear these things I said."
88,10-9-16,general,TRUMP,And I was embarrassed by it.
89,10-9-16,general,TRUMP,But I have tremendous respect for women.
90,10-9-16,general,COOPER, Have you ever done those things?
91,10-9-16,general,TRUMP, And women have respect for me.
92,10-9-16,general,TRUMP,"And I will tell you: No, I have not."
93,10-9-16,general,TRUMP,And I will tell you that I'm going to make our country safe.
94,10-9-16,general,TRUMP,"We're going to have borders in our country, which we don't have now."
95,10-9-16,general,TRUMP,"People are pouring into our country, and they're coming in from the Middle East and other places."
96,10-9-16,general,TRUMP,We're going to make America safe again.
97,10-9-16,general,TRUMP,"We're going to make America great again, but we're going to make America safe again."
98,10-9-16,general,TRUMP,"And we're going to make America wealthy again, because if you don't do that, it just—it sounds harsh to say, but we have to build up the wealth of our nation."
99,10-9-16,general,COOPER," Thank you, Mr. Trump."
100,10-9-16,general,TRUMP," Right now, other nations are taking our jobs and they're taking our wealth."
101,10-9-16,general,COOPER," Thank you, Mr. Trump."
102,10-9-16,general,TRUMP, And that's what I want to talk about.
103,10-9-16,general,COOPER," Secretary Clinton, do you want to respond?"
104,10-9-16,general,CLINTON," Well, like everyone else, I've spent a lot of time thinking over the last 48 hours about what we heard and saw."
105,10-9-16,general,CLINTON,"You know, with prior Republican nominees for president, I disagreed with them on politics, policies, principles, but I never questioned their fitness to serve."
106,10-9-16,general,CLINTON,Donald Trump is different.
107,10-9-16,general,CLINTON,I said starting back in June that he was not fit to be president and commander-in-chief.
108,10-9-16,general,CLINTON,And many Republicans and independents have said the same thing.
109,10-9-16,general,CLINTON,"What we all saw and heard on Friday was Donald talking about women, what he thinks about women, what he does to women."
110,10-9-16,general,CLINTON,And he has said that the video doesn't represent who he is.
111,10-9-16,general,CLINTON,But I think it's clear to anyone who heard it that it represents exactly who he is.
112,10-9-16,general,CLINTON,Because we've seen this throughout the campaign.
113,10-9-16,general,CLINTON,We have seen him insult women.
114,10-9-16,general,CLINTON,"We've seen him rate women on their appearance, ranking them from one to ten."
115,10-9-16,general,CLINTON,We've seen him embarrass women on TV and on Twitter.
116,10-9-16,general,CLINTON,"We saw him after the first debate spend nearly a week denigrating a former Miss Universe in the harshest, most personal terms."
117,10-9-16,general,CLINTON,"So, yes, this is who Donald Trump is."
118,10-9-16,general,CLINTON,"But it's not only women, and it's not only this video that raises questions about his fitness to be our president, because he has also targeted immigrants, African- Americans, Latinos, people with disabilities, POWs, Muslims, and so many others."
119,10-9-16,general,CLINTON,So this is who Donald Trump is.
120,10-9-16,general,CLINTON,"And the question for us, the question our country must answer is that this is not who we are."
121,10-9-16,general,CLINTON,"That's why—to go back to your question—I want to send a message—we all should—to every boy and girl and, indeed, to the entire world that America already is great, but we are great because we are good, and we will respect one another, and we will work with one another, and we will celebrate our diversity."
122,10-9-16,general,CLINTON,"These are very important values to me, because this is the America that I know and love."
123,10-9-16,general,CLINTON,And I can pledge to you tonight that this is the America that I will serve if I'm so fortunate enough to become your president.
124,10-9-16,general,RADDATZ, And we want to get to some questions from online...
125,10-9-16,general,TRUMP, Am I allowed to respond to that?
126,10-9-16,general,TRUMP,I assume I am.
127,10-9-16,general,RADDATZ," Yes, you can respond to that."
128,10-9-16,general,TRUMP," It's just words, folks."
129,10-9-16,general,TRUMP,It's just words.
130,10-9-16,general,TRUMP,"Those words, I've been hearing them for many years."
131,10-9-16,general,TRUMP,"I heard them when they were running for the Senate in New York, where Hillary was going to bring back jobs to upstate New York and she failed."
132,10-9-16,general,TRUMP,"I've heard them where Hillary is constantly talking about the inner cities of our country, which are a disaster education-wise, jobwise, safety-wise, in every way possible."
133,10-9-16,general,TRUMP,I'm going to help the African-Americans.
134,10-9-16,general,TRUMP,"I'm going to help the Latinos, Hispanics."
