,Date,Debate Type,Speaker,Sents
2,9-16-15,primary_rep,TAPPER, I'm Jake Tapper.
3,9-16-15,primary_rep,TAPPER,"We're live at the Ronald Reagan Library in Simi Valley, California for the main event."
4,9-16-15,primary_rep,TAPPER,Round 2 of CNN's presidential debate starts now.
5,9-16-15,primary_rep,TAPPER,The eleven leading Republican candidates for president are at their podiums.
6,9-16-15,primary_rep,TAPPER,"They are ready to face off, and if you've been watching this race, you know anything could happen over the next few hours."
7,9-16-15,primary_rep,TAPPER,"To viewers who are just joining us, welcome to the Air Force One Pavilion of the Ronald Reagan Presidential Library."
8,9-16-15,primary_rep,TAPPER,Our thanks to the staff here and especially to former first lady Nancy Reagan for this impressive setting with Ronald Reagan's presidential plane as our backdrop.
9,9-16-15,primary_rep,TAPPER,"[applause]

This debate is airing on CNN networks in the United States and around the world."
10,9-16-15,primary_rep,TAPPER,It's also being broadcast on the Salem Radio Network.
11,9-16-15,primary_rep,TAPPER,I know everyone is very eager to get started.
12,9-16-15,primary_rep,TAPPER,"But first, I want to explain the ground rules tonight."
13,9-16-15,primary_rep,TAPPER,My name is Jake Tapper.
14,9-16-15,primary_rep,TAPPER,I'll be the moderator.
15,9-16-15,primary_rep,TAPPER,I will be joined in the questioning by Salem Radio Network talk show host Hugh Hewitt.
16,9-16-15,primary_rep,TAPPER,He worked in the Reagan administration for six years.
17,9-16-15,primary_rep,TAPPER,And by CNN's chief political correspondent Dana Bash.
18,9-16-15,primary_rep,TAPPER,"I will ask follow-up questions, I will attempt to guide the discussion."
19,9-16-15,primary_rep,TAPPER,"Candidates, I will try to make sure each of you gets your fair share of questions."
20,9-16-15,primary_rep,TAPPER,You'll have one minute to answer and 30 seconds for follow-ups and rebuttals.
21,9-16-15,primary_rep,TAPPER,I'll give you time to respond if you've been singled out for criticism.
22,9-16-15,primary_rep,TAPPER,Our viewers should know we have timing lights that are visible to the candidates to warn them when their time is up.
23,9-16-15,primary_rep,TAPPER,These 11 Republicans are positioned on the stage based on their ranking in recent national polls.
24,9-16-15,primary_rep,TAPPER,Our goal for this evening is a debate.
25,9-16-15,primary_rep,TAPPER,"A true debate, with candidates addressing each other in areas where they differ."
26,9-16-15,primary_rep,TAPPER,"Where they disagree — on policy, on politics, on leadership."
27,9-16-15,primary_rep,TAPPER,"Now, let's begin."
28,9-16-15,primary_rep,TAPPER,I'd like to invite each candidate to take 30 seconds to introduce him or herself to our audience.
29,9-16-15,primary_rep,TAPPER,"First to you, Senator Paul."
30,9-16-15,primary_rep,PAUL," Good evening, everyone."
31,9-16-15,primary_rep,PAUL,"I'm an eye surgeon from Bowling Green, Kentucky."
32,9-16-15,primary_rep,PAUL,"My wife, Kelly, and I have been married for nearly 25 years, and I spend my days defending the Constitution and the Bill of Rights."
33,9-16-15,primary_rep,PAUL,"I think there's nothing more important than understanding that the Constitution restrains government, not the people."
34,9-16-15,primary_rep,PAUL,Thank you.
35,9-16-15,primary_rep,PAUL,[applause]
36,9-16-15,primary_rep,HUCKABEE, I'm Mike Huckabee.
37,9-16-15,primary_rep,HUCKABEE,I'm delighted to be on this stage with some remarkable fellow Republicans.
38,9-16-15,primary_rep,HUCKABEE,None of us are a self-professed socialist.
39,9-16-15,primary_rep,HUCKABEE,"None of us on this state are under investigation by the FBI because we destroyed government records, or because we leaked secrets."
40,9-16-15,primary_rep,HUCKABEE,I know that there are some in the Wall-Street-to-Washington axis of power who speak of all of us contemptuously.
41,9-16-15,primary_rep,HUCKABEE,"But I'm here to say that I think we are, in fact, the A team."
42,9-16-15,primary_rep,HUCKABEE,"We have some remarkable people, and, in fact, not only are we the A team; we even have our own Mr. T, who doesn't mind saying about others, ""you're a fool."""
