,Location,Date,Debate,Source,Speaker,Speech,RE
2,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"Good evening from Hofstra University in Hempstead, New York.",
3,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"I'm Lester Holt, anchor of ""NBC Nightly News.""",
4,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,I want to welcome you to the first presidential debate.,
5,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,The participants tonight are Donald Trump and Hillary Clinton.,Donald Trump; Hillary Clinton
6,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"This debate is sponsored by the Commission on Presidential Debates, a nonpartisan, nonprofit organization.",
7,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"The commission drafted tonight's format, and the rules have been agreed to by the campaigns.",
8,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"The 90-minute debate is divided into six segments, each 15 minutes long.",
9,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,We'll explore three topic areas tonight: Achieving prosperity; America's direction; and securing America.,
10,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"At the start of each segment, I will ask the same lead-off question to both candidates, and they will each have up to two minutes to respond.",
11,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"From that point until the end of the segment, we'll have an open discussion.",
12,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,The questions are mine and have not been shared with the commission or the campaigns.,
13,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,The audience here in the room has agreed to remain silent so that we can focus on what the candidates are saying.,
14,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"I will invite you to applaud, however, at this moment, as we welcome the candidates: Democratic nominee for president of the United States, Hillary Clinton, and Republican nominee for president of the United States, Donald J. Trump.","Democratic nominee for president of the United States, Hillary Clinton;  Republican nominee for president of the United States, Donald J. Trump"
15,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,[applause],
16,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,"How are you, Donald?",Donald
17,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,[applause],
