,Location,Date,Debate,Source,Speaker,Speech,RE
3,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,The participants tonight are Donald Trump and Hillary Clinton.,Donald Trump; Hillary Clinton
12,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"I will invite you to applaud, however, at this moment, as we welcome the candidates: Democratic nominee for president of the United States, Hillary Clinton, and Republican nominee for president of the United States, Donald J. Trump.","Democratic nominee for president of the United States, Hillary Clinton;  Republican nominee for president of the United States, Donald J. Trump"
14,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,"How are you, Donald?",Donald
19,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"I am honored to have this role, but this evening belongs to the candidates and, just as important, to the American people.",the candidates
20,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"Candidates, we look forward to hearing you articulate your policies and your positions, as well as your visions and your values.",Candidates
27,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"Beginning with you, Secretary Clinton, why are you a better choice than your opponent to create the kinds of jobs that will put more money into the pockets of American works?",Secretary Clinton; your opponent
28,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,"Well, thank you, Lester, and thanks to Hofstra for hosting us.",Lester
46,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,"Finally, we tonight are on the stage together, Donald Trump and I. Donald, it's good to be with you.",Donald Trump; Donald
50,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"Secretary Clinton, thank you.",Secretary Clinton
51,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"Mr. Trump, the same question to you.",Mr. Trump
54,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"Thank you, Lester.",Lester
72,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"As far as child care is concerned and so many other things, I think Hillary and I agree on that.",Hillary
90,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"Secretary Clinton, would you like to respond?",Secretary Clinton
95,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,And the kind of plan that Donald has put forth would be trickle-down economics all over again.,Donald
102,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,"You know, Donald was very fortunate in his life, and that's all to his benefit.",Donald
111,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"Let me follow up with Mr. Trump, if you can.",Mr. Trump
122,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"And, Lester, they're taking our jobs, they're giving incentives, they're doing things that, frankly, we don't do.",Lester
131,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"Now, in all fairness to Secretary ClintonÛÓyes, is that OK?",Secretary Clinton
135,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"But in all fairness to Secretary Clinton, when she started talking about this, it was really very recently.",Secretary Clinton
141,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"Secretary Clinton and others, politicians, should have been doing this for years, not right now, because of the fact that we've created a movement.",Secretary Clinton
159,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,Let me let Secretary Clinton get in here.,Secretary Clinton
163,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,"In fact, Donald was one of the people who rooted for the housing crisis.",Donald
173,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,"Independent experts have looked at what I've proposed and looked at what Donald's proposed, and basically they've said this, that if his tax plan, which would blow up the debt by over $5 trillion and would in some instances disadvantage middle-class families compared to the wealthy, were to go into effect, we would lose 3.5 million jobs and maybe have another recession.",Donald
177,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,Donald thinks that climate change is a hoax perpetrated by the Chinese.,Donald
191,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,Mr. Trump?,Mr. Trump
206,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"And, Hillary, I'd just ask you this.",Hillary
217,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,I think my husband did a pretty good job in the 1990s.,my husband
240,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,"Well, I've been a senator, Donald...",Donald
246,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"Your husband signed NAFTA, which was one of the worst things that ever happened to the manufacturing industry.",your husband
249,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"You go to New England, you go to Ohio, Pennsylvania, you go anywhere you want, Secretary Clinton, and you will see devastation where manufacture is down 30, 40, sometimes 50 percent.",Secretary Clinton
265,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,"Well, Donald, I know you live in your own reality, but that is not the facts.",Donald
270,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,So is it President Obama's fault?,President Obama
272,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,Is it President Obama's fault?,President Obama
274,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"Secretary, is it President Obama's fault?",Secretary; President Obama
282,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"Secretary, you have no plan.",Secretary
328,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"Mr. Trump, I'm going to...",Mr. Trump
349,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"Secretary Clinton, you're calling for a tax increase on the wealthiest Americans.",Secretary Clinton
351,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"And, Mr. Trump, you're calling for tax cuts for the wealthy.",Mr. Trump
353,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"And this next two-minute answer goes to you, Mr. Trump.",Mr. Trump
